514,firefox,webp,undefined,209,12,303,160
519,firefox,png,undefined,197,6,2031,135
524,firefox,jpeg,undefined,173,12,320,120
529,firefox,avif,undefined,89,11,340,30
534,firefox,webp,undefined,173,9,286,119
539,firefox,png,undefined,148,10,1667,88
544,firefox,jpeg,undefined,125,9,250,63
549,firefox,avif,undefined,181,10,219,131
554,firefox,webp,undefined,175,9,203,115
558,firefox,png,undefined,382,7,1811,332
563,firefox,jpeg,undefined,192,9,271,123
568,firefox,avif,undefined,176,11,275,119
573,firefox,webp,undefined,167,10,214,101
578,firefox,png,undefined,170,9,1871,110
583,firefox,jpeg,undefined,163,8,295,112
588,firefox,avif,undefined,174,10,291,114
593,firefox,webp,undefined,165,9,247,101
598,firefox,png,undefined,182,8,1953,133
603,firefox,jpeg,undefined,184,13,287,132
608,firefox,avif,undefined,187,11,277,126
613,firefox,webp,undefined,188,15,233,123
621,firefox,jpeg,undefined,178,10,353,114
626,firefox,avif,undefined,173,10,322,119
631,firefox,webp,undefined,82,9,349,28
636,firefox,png,undefined,191,10,1860,139
641,firefox,jpeg,undefined,186,9,252,126
646,firefox,avif,undefined,173,9,249,103
651,firefox,webp,undefined,337,11,239,280
656,firefox,png,undefined,187,8,1606,127
661,firefox,jpeg,undefined,172,9,204,122
666,firefox,avif,undefined,86,9,205,31
671,firefox,webp,undefined,343,9,184,284
680,firefox,jpeg,undefined,89,11,369,31
685,firefox,avif,undefined,199,11,345,128
690,firefox,webp,undefined,337,11,316,279
695,firefox,png,undefined,177,9,1600,117
700,firefox,jpeg,undefined,124,10,250,73
705,firefox,avif,undefined,159,11,238,98
710,firefox,webp,undefined,163,9,161,117
715,firefox,png,undefined,208,12,2091,139
720,firefox,jpeg,undefined,344,12,312,279
725,firefox,avif,undefined,100,9,251,45
730,firefox,webp,undefined,265,10,257,211
735,firefox,png,undefined,184,10,2280,123
739,firefox,jpeg,undefined,102,10,354,46
744,firefox,avif,undefined,177,9,304,114
749,firefox,webp,undefined,177,8,275,121
754,firefox,png,undefined,198,11,1652,142
759,firefox,jpeg,undefined,182,10,266,117
764,firefox,avif,undefined,181,10,291,126
769,firefox,webp,undefined,173,9,197,110
774,firefox,png,undefined,191,12,1408,130
779,firefox,jpeg,undefined,180,12,213,116
784,firefox,avif,undefined,191,10,179,132
789,firefox,webp,undefined,207,11,164,144
794,firefox,png,undefined,94,10,1849,39
799,firefox,jpeg,undefined,172,10,271,111
804,firefox,avif,undefined,198,9,295,138
809,firefox,webp,undefined,168,9,227,113
